icao,geometry
368,ENZVTAS,"POLYGON ((6.3716666667 59.3847222222, 6.2066666667 59.6852777778, 5.5319444444 59.6536111111, 4.4991666667 59.6063888889, 4.6222222222 59.0961111111, 4.6694444444 58.8966666667, 4.8002777778 58.6361111111, 4.8533333333 58.5277777778, 5.1997222222 58.3544444444, 5.9180555556 58.3636111111, 6.3211111111 58.3672222222, 6.7211111111 58.7355555556, 6.6597222222 58.8502777778, 6.3716666667 59.3847222222))"
369,ENZVTASE,"POLYGON ((6.3716666667 59.3847222222, 6.6597222222 58.8502777778, 6.7211111111 58.7355555556, 6.3211111111 58.3672222222, 5.9180555556 58.3636111111, 5.6452777778 58.7386111111, 5.6333333333 59.0247222222, 5.7266666667 59.2383333333, 6.3716666667 59.3847222222))"
370,ENZVTASW,"POLYGON ((6.2066666667 59.6852777778, 6.3716666667 59.3847222222, 5.7266666667 59.2383333333, 5.6333333333 59.0247222222, 5.6452777778 58.7386111111, 5.9180555556 58.3636111111, 5.1997222222 58.3544444444, 4.8533333333 58.5277777778, 4.8002777778 58.6361111111, 4.6694444444 58.8966666667, 4.6222222222 59.0961111111, 4.4991666667 59.6063888889, 5.5319444444 59.6536111111, 6.2066666667 59.6852777778))"
371,EPWWALL,"POLYGON ((23.1383333333 49.9658333333, 23.2119444444 50.0216666667, 23.4852777778 50.2211111111, 23.8255555556 50.4041666667, 24.065 50.5033333333, 24.0502777778 50.6677777778, 24.1 50.8333333333, 23.6458333333 51.3027777778, 23.6166666667 51.5, 23.5594444444 51.6666666667, 23.5430555556 51.7230555556, 23.5902777778 51.7669444444, 23.6647222222 52.0163888889, 23.5519444444 52.1161111111, 23.4044444444 52.1880555556, 23.2088888889 52.2277777778, 23.2086111111 52.2277777778, 23.1666666667 52.2416666667, 23.9333333333 52.7833333333, 23.9333333333 52.8277777778, 23.9219444444 52.8511111111, 23.9219444444 52.8513888889, 23.9833333333 53, 23.8941666667 53.1777777778, 23.8941666667 53.1780555556, 23.7672222222 53.3811111111, 23.6297222222 53.5927777778, 23.5530555556 53.8297222222, 23.7416666667 53.9333333333, 23.4069444444 54.1944444444, 23.0591666667 54.3075, 22.8741666667 54.4216666667, 22.7919444444 54.3633333333, 22.175 54.3333333333, 21.4666666667 54.3333333333, 20.6983333333 54.3683333333, 20.5 54.3666666667, 20.2805555556 54.3997222222, 20 54.4263888889, 19.8683333333 54.4425, 19.6541666667 54.4477777778, 19.5758333333 54.4975, 19.4538888889 54.5727777778, 19.4047222222 54.6030555556, 19.3555555556 54.6377777778, 19.2933333333 54.675, 19.2569444444 54.7044444444, 19.1983333333 54.75, 19.0069444444 54.875, 18.9941666667 54.8944444444, 18.9583333333 54.9127777778, 18.9041666667 54.9461111111, 18.4480555556 55.2586111111, 18.4011111111 55.2902777778, 18.3916666667 55.2963888889, 18.3883333333 55.3019444444, 17.5136111111 55.2269444444, 17.475 55.225, 17.3769444444 55.2208333333, 16.2333333333 55.1333333333, 16.0708333333 55.0336111111, 16 55, 15.8666666667 54.9166666667, 15.8441666667 54.9163888889, 15.7255555556 54.9166666667, 15.655 54.9166666667, 15.2961111111 54.9166666667, 15.1405555556 54.9166666667, 15.1188888889 54.9036111111, 15.0972222222 54.89, 15.0805555556 54.8783333333, 15.0591666667 54.8666666667, 15.0366666667 54.8558333333, 15.0133333333 54.8461111111, 14.9886111111 54.8369444444, 14.9630555556 54.8286111111, 14.9441666667 54.8230555556, 14.9097222222 54.815, 14.8819444444 54.8094444444, 14.8577777778 54.8055555556, 14.8536111111 54.8052777778, 14.825 54.8016666667, 14.7958333333 54.7994444444, 14.7666666667 54.7980555556, 14.7372222222 54.7977777778, 14.7080555556 54.7986111111, 14.6788888889 54.8005555556, 14.65 54.8033333333, 14.6213888889 54.8072222222, 14.5933333333 54.8122222222, 14.5661111111 54.8180555556, 14.5641666667 54.8197222222, 14.5391666667 54.8247222222, 14.5133333333 54.8325, 14.4883333333 54.8413888889, 14.4641666667 54.8508333333, 14.4411111111 54.8613888889, 14.4194444444 54.8725, 14.3988888889 54.8844444444, 14.3794444444 54.8972222222, 14.3575 54.9166666667, 14.3372222222 54.7597222222, 14.3252777778 54.6666666667, 14.2805555556 54.3333333333, 14.2597222222 54.1666666667, 14.2233333333 54.0516666667, 14.2283333333 53.9294444444, 14.2277777778 53.8530555556, 14.2755555556 53.7594444444, 14.29 53.7377777778, 14.2786111111 53.6844444444, 14.3136111111 53.6444444444, 14.3258333333 53.5077777778, 14.3886111111 53.3780555556, 14.405 53.3580555556, 14.4166666667 53.3333333333, 14.41 53.2758333333, 14.3775 53.1777777778, 14.3333333333 53.1666666667, 14.1566666667 52.9061111111, 14.2208333333 52.815, 14.3738888889 52.7286111111, 14.5258333333 52.6316666667, 14.6083333333 52.6016666667, 14.6397222222 52.5386111111, 14.5388888889 52.4, 14.5788888889 52.2938888889, 14.6591666667 52.2091666667, 14.6802777778 52.1386111111, 14.7555555556 52.0583333333, 14.6752777778 51.9030555556, 14.6333333333 51.8333333333, 14.6166666667 51.8, 14.6666666667 51.75, 14.7144444444 51.6986111111, 14.7380555556 51.5830555556, 15 51.5, 14.9616666667 51.4069444444, 15.0105555556 51.2030555556, 14.9902777778 51.1183333333, 14.9169444444 50.9905555556, 14.9741666667 50.9961111111, 15 51, 15.0947222222 51.0138888889, 15.24 50.9980555556, 15.3366666667 50.8608333333, 15.3738888889 50.8080555556, 15.3738888889 50.8077777778, 15.5244444444 50.7808333333, 15.6738888889 50.7541666667, 16.0852777778 50.6505555556, 16.1858333333 50.6252777778, 16.4408333333 50.5875, 16.4166666667 50.575, 16.1986111111 50.4352777778, 16.3061111111 50.3827777778, 16.4258333333 50.3252777778, 16.4691666667 50.2813888889, 16.5036111111 50.2563888889, 16.5569444444 50.2177777778, 16.5672222222 50.1613888889, 16.6286111111 50.1302777778, 16.6916666667 50.0983333333, 16.8544444444 50.2038888889, 16.9811111111 50.2375, 17.0119444444 50.2188888889, 17.0163888889 50.2591666667, 17.0175 50.2697222222, 16.9952777778 50.2911111111, 16.9733333333 50.3080555556, 16.9044444444 50.4480555556, 17.1988888889 50.375, 17.3505555556 50.3022222222, 17.4491666667 50.255, 17.5925 50.1597222222, 17.6041666667 50.1533333333, 17.6805555556 50.1116666667, 17.7080555556 50.0966666667, 17.7508333333 50.0730555556, 18.005 50.0533333333, 18.0969444444 50.0266666667, 18.2111111111 49.9919444444, 18.4691666667 49.9108333333, 18.5652777778 49.8802777778, 18.5727777778 49.8475, 18.6286111111 49.7202777778, 18.8061111111 49.6652777778, 18.8508333333 49.5169444444, 18.9619444444 49.5111111111, 18.9811111111 49.3902777778, 19.2 49.4136111111, 19.2594444444 49.53, 19.4694444444 49.6116666667, 19.6466666667 49.455, 19.6361111111 49.4277777778, 19.7916666667 49.3763888889, 19.7997222222 49.3036111111, 19.8516666667 49.1963888889, 20 49.2222222222, 20.1 49.22, 20.1752777778 49.3136111111, 20.2552777778 49.3497222222, 20.7022222222 49.4175, 20.9330555556 49.2919444444, 21.0102777778 49.3363888889, 21.0955555556 49.3675, 21.1986111111 49.4083333333, 21.2269444444 49.4194444444, 21.3333333333 49.4486111111, 21.4391666667 49.4127777778, 22.5666666667 49.0886111111, 22.7666666667 49, 22.8333333333 49.0888888889, 22.7380555556 49.2055555556, 22.7366666667 49.21, 22.6561111111 49.5047222222, 22.6544444444 49.5677777778, 22.94 49.8088888889, 23.0583333333 49.8883333333, 23.1383333333 49.9658333333))"
372,EPWWBD,"POLYGON ((14.2277777778 53.8530555556, 14.2755555556 53.7594444444, 14.29 53.7377777778, 14.2786111111 53.6844444444, 14.3136111111 53.6444444444, 14.3258333333 53.5077777778, 14.3886111111 53.3780555556, 14.405 53.3580555556, 14.4166666667 53.3333333333, 14.41 53.2758333333, 14.3775 53.1777777778, 14.3333333333 53.1666666667, 14.1566666667 52.9061111111, 14.2208333333 52.815, 14.3738888889 52.7286111111, 14.5258333333 52.6316666667, 14.6083333333 52.6016666667, 14.6397222222 52.5386111111, 14.5388888889 52.4, 14.5788888889 52.2938888889, 14.6591666667 52.2091666667, 14.6802777778 52.1386111111, 14.7555555556 52.0583333333, 14.6752777778 51.9030555556, 14.6333333333 51.8333333333, 14.6166666667 51.8, 14.6666666667 51.75, 14.7144444444 51.6986111111, 14.7380555556 51.5830555556, 15 51.5, 16.0047222222 51.6005555556, 17.2391666667 51.7102777778, 17.3988888889 51.73, 17.6783333333 51.75, 17.9444444444 51.7694444444, 18.17 51.7855555556, 18.1730555556 52.6516666667, 18 52.6711111111, 17.6244444444 52.7133333333, 16.8255555556 53.2063888889, 17.0819444444 53.6019444444, 17.4097222222 54.1227777778, 16.6477777778 54.515, 15.8666666667 54.9166666667, 15.8441666667 54.9163888889, 15.7255555556 54.9166666667, 15.655 54.9166666667, 15.2961111111 54.9166666667, 15.1405555556 54.9166666667, 15.1188888889 54.9036111111, 15.0972222222 54.89, 15.0805555556 54.8783333333, 15.0591666667 54.8666666667, 15.0366666667 54.8558333333, 15.0133333333 54.8461111111, 14.9886111111 54.8369444444, 14.9630555556 54.8286111111, 14.9441666667 54.8230555556, 14.9097222222 54.815, 14.8819444444 54.8094444444, 14.8577777778 54.8055555556, 14.8536111111 54.8052777778, 14.825 54.8016666667, 14.7958333333 54.7994444444, 14.7666666667 54.7980555556, 14.7372222222 54.7977777778, 14.7080555556 54.7986111111, 14.6788888889 54.8005555556, 14.65 54.8033333333, 14.6213888889 54.8072222222, 14.5933333333 54.8122222222, 14.5661111111 54.8180555556, 14.5641666667 54.8197222222, 14.5391666667 54.8247222222, 14.5133333333 54.8325, 14.4883333333 54.8413888889, 14.4641666667 54.8508333333, 14.4411111111 54.8613888889, 14.4194444444 54.8725, 14.3988888889 54.8844444444, 14.3794444444 54.8972222222, 14.3575 54.9166666667, 14.3372222222 54.7597222222, 14.3252777778 54.6666666667, 14.2805555556 54.3333333333, 14.2597222222 54.1666666667, 14.2233333333 54.0516666667, 14.2283333333 53.9294444444, 14.2277777778 53.8530555556))"
373,EPWWBDL,"POLYGON ((14.3738888889 52.7286111111, 14.5258333333 52.6316666667, 14.6083333333 52.6016666667, 14.6397222222 52.5386111111, 14.5388888889 52.4, 14.5788888889 52.2938888889, 14.6591666667 52.2091666667, 14.6802777778 52.1386111111, 14.7555555556 52.0583333333, 14.6752777778 51.9030555556, 14.6333333333 51.8333333333, 14.6166666667 51.8, 14.6666666667 51.75, 14.7144444444 51.6986111111, 14.7380555556 51.5830555556, 15 51.5, 16.0047222222 51.6005555556, 17.2391666667 51.7102777778, 17.2466666667 52.3866666667, 17.6244444444 52.7133333333, 16.8255555556 53.2063888889, 17.0819444444 53.6019444444, 17.4097222222 54.1227777778, 16.6477777778 54.515, 15.8666666667 54.9166666667, 15.8441666667 54.9163888889, 15.7255555556 54.9166666667, 15.655 54.9166666667, 15.2961111111 54.9166666667, 15.1405555556 54.9166666667, 15.1188888889 54.9036111111, 15.0972222222 54.89, 15.0805555556 54.8783333333, 15.0591666667 54.8666666667, 15.0366666667 54.8558333333, 15.0133333333 54.8461111111, 14.9886111111 54.8369444444, 14.9630555556 54.8286111111, 14.9441666667 54.8230555556, 14.9097222222 54.815, 14.8819444444 54.8094444444, 14.8577777778 54.8055555556, 14.8536111111 54.8052777778, 14.825 54.8016666667, 14.7958333333 54.7994444444, 14.7666666667 54.7980555556, 14.7372222222 54.7977777778, 14.7080555556 54.7986111111, 14.6788888889 54.8005555556, 14.65 54.8033333333, 14.6213888889 54.8072222222, 14.5933333333 54.8122222222, 14.5661111111 54.8180555556, 14.5641666667 54.8197222222, 14.5391666667 54.8247222222, 14.5133333333 54.8325, 14.4883333333 54.8413888889, 14.4641666667 54.8508333333, 14.4411111111 54.8613888889, 14.4194444444 54.8725, 14.3988888889 54.8844444444, 14.3794444444 54.8972222222, 14.3575 54.9166666667, 14.3372222222 54.7597222222, 14.3252777778 54.6666666667, 14.2805555556 54.3333333333, 14.2597222222 54.1666666667, 14.2233333333 54.0516666667, 14.2283333333 53.9294444444, 14.2277777778 53.8530555556, 14.2755555556 53.7594444444, 14.29 53.7377777778, 14.2786111111 53.6844444444, 14.3136111111 53.6444444444, 14.3258333333 53.5077777778, 14.3886111111 53.3780555556, 14.405 53.3580555556, 14.4166666667 53.3333333333, 14.41 53.2758333333, 14.3775 53.1777777778, 14.3333333333 53.1666666667, 14.1566666667 52.9061111111, 14.2208333333 52.815, 14.3738888889 52.7286111111))"
374,EPWWBFGN,"POLYGON ((18.1730555556 52.6516666667, 19.1583333333 52.5333333333, 19.7288888889 52.4688888889, 19.7666666667 52.4647222222, 19.7941666667 52.4622222222, 20.3222222222 52.6705555556, 20.3616666667 52.7636111111, 20.3766666667 52.7891666667, 20.5 53, 22.9291666667 53.2941666667, 23.7672222222 53.3811111111, 23.6297222222 53.5927777778, 23.5530555556 53.8297222222, 23.7416666667 53.9333333333, 23.4069444444 54.1944444444, 23.0591666667 54.3075, 22.8741666667 54.4216666667, 22.7919444444 54.3633333333, 22.175 54.3333333333, 21.4666666667 54.3333333333, 20.6983333333 54.3683333333, 20.5 54.3666666667, 20.2805555556 54.3997222222, 20 54.4263888889, 19.8683333333 54.4425, 19.6541666667 54.4477777778, 19.5758333333 54.4975, 19.4538888889 54.5727777778, 19.4047222222 54.6030555556, 19.3555555556 54.6377777778, 19.2933333333 54.675, 19.2569444444 54.7044444444, 19.1983333333 54.75, 19.0069444444 54.875, 18.9941666667 54.8944444444, 18.9583333333 54.9127777778, 18.9041666667 54.9461111111, 18.4480555556 55.2586111111, 18.4011111111 55.2902777778, 18.3916666667 55.2963888889, 18.3883333333 55.3019444444, 17.5136111111 55.2269444444, 17.475 55.225, 17.3769444444 55.2208333333, 16.2333333333 55.1333333333, 16.0708333333 55.0336111111, 16 55, 15.8666666667 54.9166666667, 15.8441666667 54.9163888889, 15.7255555556 54.9166666667, 15.655 54.9166666667, 15.2961111111 54.9166666667, 15.1405555556 54.9166666667, 15.1188888889 54.9036111111, 15.0972222222 54.89, 15.0805555556 54.8783333333, 15.0591666667 54.8666666667, 15.0366666667 54.8558333333, 15.0133333333 54.8461111111, 14.9886111111 54.8369444444, 14.9630555556 54.8286111111, 14.9441666667 54.8230555556, 14.9097222222 54.815, 14.8819444444 54.8094444444, 14.8577777778 54.8055555556, 14.8536111111 54.8052777778, 14.825 54.8016666667, 14.7958333333 54.7994444444, 14.7666666667 54.7980555556, 14.7372222222 54.7977777778, 14.7080555556 54.7986111111, 14.6788888889 54.8005555556, 14.65 54.8033333333, 14.6213888889 54.8072222222, 14.5933333333 54.8122222222, 14.5661111111 54.8180555556, 14.5641666667 54.8197222222, 14.5391666667 54.8247222222, 14.5133333333 54.8325, 14.4883333333 54.8413888889, 14.4641666667 54.8508333333, 14.4411111111 54.8613888889, 14.4194444444 54.8725, 14.3988888889 54.8844444444, 14.3794444444 54.8972222222, 14.3575 54.9166666667, 14.3372222222 54.7597222222, 14.3252777778 54.6666666667, 14.2805555556 54.3333333333, 14.2597222222 54.1666666667, 14.2233333333 54.0516666667, 14.2283333333 53.9294444444, 14.2277777778 53.8530555556, 14.2755555556 53.7594444444, 14.29 53.7377777778, 14.2786111111 53.6844444444, 14.3136111111 53.6444444444, 14.3258333333 53.5077777778, 14.3886111111 53.3780555556, 14.405 53.3580555556, 14.4166666667 53.3333333333, 14.41 53.2758333333, 14.3775 53.1777777778, 14.3333333333 53.1666666667, 14.1566666667 52.9061111111, 14.2208333333 52.815, 14.3738888889 52.7286111111, 15 52.8627777778, 15.5583333333 52.9808333333, 16.8255555556 53.2063888889, 17.6244444444 52.7133333333, 18 52.6711111111, 18.1730555556 52.6516666667))"
375,EPWWBFGNH,"POLYGON ((14.2277777778 53.8530555556, 14.2755555556 53.7594444444, 14.29 53.7377777778, 14.2786111111 53.6844444444, 14.3136111111 53.6444444444, 14.3258333333 53.5077777778, 14.3886111111 53.3780555556, 14.405 53.3580555556, 14.4166666667 53.3333333333, 14.41 53.2758333333, 14.3775 53.1777777778, 14.3333333333 53.1666666667, 14.1566666667 52.9061111111, 14.2208333333 52.815, 14.3738888889 52.7286111111, 15 52.8627777778, 15.5583333333 52.9808333333, 16.8255555556 53.2063888889, 17.6244444444 52.7133333333, 18 52.6711111111, 18.1730555556 52.6516666667, 19.1583333333 52.5333333333, 19.7288888889 52.4688888889, 19.7666666667 52.4647222222, 19.7941666667 52.4622222222, 20.3222222222 52.6705555556, 20.3616666667 52.7636111111, 20.3766666667 52.7891666667, 20.5 53, 22.9291666667 53.2941666667, 23.7672222222 53.3811111111, 23.6297222222 53.5927777778, 23.5530555556 53.8297222222, 23.7416666667 53.9333333333, 23.4069444444 54.1944444444, 23.0591666667 54.3075, 22.8741666667 54.4216666667, 22.7919444444 54.3633333333, 22.175 54.3333333333, 21.4666666667 54.3333333333, 20.6983333333 54.3683333333, 20.5 54.3666666667, 20.2805555556 54.3997222222, 20 54.4263888889, 19.8683333333 54.4425, 19.6541666667 54.4477777778, 19.5758333333 54.4975, 19.4538888889 54.5727777778, 19.4047222222 54.6030555556, 19.3555555556 54.6377777778, 19.2933333333 54.675, 19.2569444444 54.7044444444, 19.1983333333 54.75, 19.0069444444 54.875, 18.9941666667 54.8944444444, 18.9583333333 54.9127777778, 18.9041666667 54.9461111111, 18.4480555556 55.2586111111, 18.4011111111 55.2902777778, 18.3916666667 55.2963888889, 18.3883333333 55.3019444444, 17.5136111111 55.2269444444, 17.475 55.225, 17.3769444444 55.2208333333, 16.2333333333 55.1333333333, 16.0708333333 55.0336111111, 16 55, 15.8666666667 54.9166666667, 15.7480555556 54.7308333333, 15.7191666667 54.685, 15.6338888889 54.6063888889, 15.5533333333 54.5316666667, 15.3961111111 54.3852777778, 15.0558333333 54.2625, 14.2805555556 54.3333333333, 14.2597222222 54.1666666667, 14.2233333333 54.0516666667, 14.2283333333 53.9294444444, 14.2277777778 53.8530555556))"
376,EPWWBL,"POLYGON ((15 52.8627777778, 15.5583333333 52.9808333333, 16.8255555556 53.2063888889, 17.0819444444 53.6019444444, 17.4097222222 54.1227777778, 16.6477777778 54.515, 15.8666666667 54.9166666667, 15.8441666667 54.9163888889, 15.7255555556 54.9166666667, 15.655 54.9166666667, 15.2961111111 54.9166666667, 15.1405555556 54.9166666667, 15.1188888889 54.9036111111, 15.0972222222 54.89, 15.0805555556 54.8783333333, 15.0591666667 54.8666666667, 15.0366666667 54.8558333333, 15.0133333333 54.8461111111, 14.9886111111 54.8369444444, 14.9630555556 54.8286111111, 14.9441666667 54.8230555556, 14.9097222222 54.815, 14.8819444444 54.8094444444, 14.8577777778 54.8055555556, 14.8536111111 54.8052777778, 14.825 54.8016666667, 14.7958333333 54.7994444444, 14.7666666667 54.7980555556, 14.7372222222 54.7977777778, 14.7080555556 54.7986111111, 14.6788888889 54.8005555556, 14.65 54.8033333333, 14.6213888889 54.8072222222, 14.5933333333 54.8122222222, 14.5661111111 54.8180555556, 14.5641666667 54.8197222222, 14.5391666667 54.8247222222, 14.5133333333 54.8325, 14.4883333333 54.8413888889, 14.4641666667 54.8508333333, 14.4411111111 54.8613888889, 14.4194444444 54.8725, 14.3988888889 54.8844444444, 14.3794444444 54.8972222222, 14.3575 54.9166666667, 14.3372222222 54.7597222222, 14.3252777778 54.6666666667, 14.2805555556 54.3333333333, 14.2597222222 54.1666666667, 14.2233333333 54.0516666667, 14.2283333333 53.9294444444, 14.2277777778 53.8530555556, 14.2755555556 53.7594444444, 14.29 53.7377777778, 14.2786111111 53.6844444444, 14.3136111111 53.6444444444, 14.3258333333 53.5077777778, 14.3886111111 53.3780555556, 14.405 53.3580555556, 14.4166666667 53.3333333333, 14.41 53.2758333333, 14.3775 53.1777777778, 14.3333333333 53.1666666667, 14.1566666667 52.9061111111, 14.2208333333 52.815, 14.3738888889 52.7286111111, 15 52.8627777778))"
377,EPWWC,"POLYGON ((19.1583333333 52.5333333333, 18.1730555556 52.6516666667, 18 52.6711111111, 17.6244444444 52.7133333333, 17.2466666667 52.3866666667, 17.2391666667 51.7102777778, 18.4577777778 50.6877777778, 18.4947222222 50.7152777778, 18.7383333333 50.8944444444, 18.855 50.9452777778, 19.1269444444 51.0727777778, 19.7516666667 51.35, 20.1369444444 51.4675, 20.2297222222 51.4958333333, 20.2666666667 51.7511111111, 20.2758333333 51.8091666667, 20.3202777778 52.1066666667, 20.0536111111 52.2841666667, 19.8091666667 52.4519444444, 19.7941666667 52.4622222222, 19.7666666667 52.4647222222, 19.7288888889 52.4688888889, 19.1583333333 52.5333333333))"
378,EPWWCL,"POLYGON ((19.1269444444 51.0727777778, 19.7516666667 51.35, 20.1369444444 51.4675, 20.2297222222 51.4958333333, 20.2666666667 51.7511111111, 20.2758333333 51.8091666667, 20.3202777778 52.1066666667, 20.0536111111 52.2841666667, 19.8091666667 52.4519444444, 19.7941666667 52.4622222222, 19.7666666667 52.4647222222, 19.7288888889 52.4688888889, 19.1583333333 52.5333333333, 18.1730555556 52.6516666667, 18 52.6711111111, 17.6244444444 52.7133333333, 17.2466666667 52.3866666667, 17.2391666667 51.7102777778, 18.4577777778 50.6877777778, 18.4947222222 50.7152777778, 18.7383333333 50.8944444444, 18.855 50.9452777778, 19.1269444444 51.0727777778))"
379,EPWWDL,"POLYGON ((16.0047222222 51.6005555556, 17.2391666667 51.7102777778, 17.2466666667 52.3866666667, 17.6244444444 52.7133333333, 16.8255555556 53.2063888889, 15.5583333333 52.9808333333, 15 52.8627777778, 14.3738888889 52.7286111111, 14.5258333333 52.6316666667, 14.6083333333 52.6016666667, 14.6397222222 52.5386111111, 14.5388888889 52.4, 14.5788888889 52.2938888889, 14.6591666667 52.2091666667, 14.6802777778 52.1386111111, 14.7555555556 52.0583333333, 14.6752777778 51.9030555556, 14.6333333333 51.8333333333, 14.6166666667 51.8, 14.6666666667 51.75, 14.7144444444 51.6986111111, 14.7380555556 51.5830555556, 15 51.5, 16.0047222222 51.6005555556))"
380,EPWWDTC,"POLYGON ((19.1583333333 52.5333333333, 18.1730555556 52.6516666667, 18 52.6711111111, 17.6244444444 52.7133333333, 16.8255555556 53.2063888889, 15.5583333333 52.9808333333, 15 52.8627777778, 14.3738888889 52.7286111111, 14.5258333333 52.6316666667, 14.6083333333 52.6016666667, 14.6397222222 52.5386111111, 14.5388888889 52.4, 14.5788888889 52.2938888889, 14.6591666667 52.2091666667, 14.6802777778 52.1386111111, 14.7555555556 52.0583333333, 14.6752777778 51.9030555556, 14.6333333333 51.8333333333, 14.6166666667 51.8, 14.6666666667 51.75, 14.7144444444 51.6986111111, 14.7380555556 51.5830555556, 15 51.5, 14.9616666667 51.4069444444, 15.0105555556 51.2030555556, 14.9902777778 51.1183333333, 14.9169444444 50.9905555556, 14.9741666667 50.9961111111, 15 51, 15.0947222222 51.0138888889, 15.24 50.9980555556, 15.3366666667 50.8608333333, 15.3738888889 50.8080555556, 15.3738888889 50.8077777778, 15.5244444444 50.7808333333, 15.6738888889 50.7541666667, 16.0852777778 50.6505555556, 16.1858333333 50.6252777778, 16.4408333333 50.5875, 16.4166666667 50.575, 16.1986111111 50.4352777778, 16.3061111111 50.3827777778, 16.4258333333 50.3252777778, 16.4691666667 50.2813888889, 16.5036111111 50.2563888889, 16.5569444444 50.2177777778, 16.5672222222 50.1613888889, 16.6286111111 50.1302777778, 16.6916666667 50.0983333333, 16.8544444444 50.2038888889, 16.9811111111 50.2375, 17.0119444444 50.2188888889, 17.0163888889 50.2591666667, 17.0175 50.2697222222, 16.9952777778 50.2911111111, 16.9733333333 50.3080555556, 16.9044444444 50.4480555556, 17.1988888889 50.375, 17.3505555556 50.3022222222, 17.4491666667 50.255, 17.5925 50.1597222222, 17.6041666667 50.1533333333, 17.6805555556 50.1116666667, 17.7080555556 50.0966666667, 17.7508333333 50.0730555556, 18.005 50.0533333333, 18.0969444444 50.0266666667, 18.0977777778 50.0477777778, 18.2738888889 50.3488888889, 18.4577777778 50.6877777778, 18.4947222222 50.7152777778, 18.7383333333 50.8944444444, 18.855 50.9452777778, 19.1269444444 51.0727777778, 19.7516666667 51.35, 20.1369444444 51.4675, 20.2297222222 51.4958333333, 20.2666666667 51.7511111111, 20.2758333333 51.8091666667, 20.3202777778 52.1066666667, 20.0536111111 52.2841666667, 19.8091666667 52.4519444444, 19.7941666667 52.4622222222, 19.7666666667 52.4647222222, 19.7288888889 52.4688888889, 19.1583333333 52.5333333333))"
381,EPWWDTCH,"POLYGON ((18.1730555556 52.6516666667, 18 52.6711111111, 17.6244444444 52.7133333333, 16.8255555556 53.2063888889, 15.5583333333 52.9808333333, 15 52.8627777778, 14.3738888889 52.7286111111, 14.5258333333 52.6316666667, 14.6083333333 52.6016666667, 14.6397222222 52.5386111111, 14.5388888889 52.4, 14.5788888889 52.2938888889, 14.6591666667 52.2091666667, 14.6802777778 52.1386111111, 14.7555555556 52.0583333333, 14.6752777778 51.9030555556, 14.6333333333 51.8333333333, 14.6166666667 51.8, 14.6666666667 51.75, 14.7144444444 51.6986111111, 14.7380555556 51.5830555556, 15 51.5, 14.9616666667 51.4069444444, 15.0105555556 51.2030555556, 14.9902777778 51.1183333333, 14.9169444444 50.9905555556, 14.9741666667 50.9961111111, 15 51, 15.0947222222 51.0138888889, 15.24 50.9980555556, 15.3366666667 50.8608333333, 15.3738888889 50.8080555556, 15.3738888889 50.8077777778, 15.5244444444 50.7808333333, 15.6738888889 50.7541666667, 16.0852777778 50.6505555556, 16.1858333333 50.6252777778, 16.4408333333 50.5875, 16.4166666667 50.575, 16.1986111111 50.4352777778, 16.3061111111 50.3827777778, 16.4258333333 50.3252777778, 16.9733333333 50.3080555556, 16.9044444444 50.4480555556, 17.1988888889 50.375, 17.3505555556 50.3022222222, 17.4491666667 50.255, 17.5925 50.1597222222, 17.6041666667 50.1533333333, 17.6805555556 50.1116666667, 17.7080555556 50.0966666667, 17.7508333333 50.0730555556, 18.005 50.0533333333, 18.0969444444 50.0266666667, 18.0977777778 50.0477777778, 18.2738888889 50.3488888889, 18.4577777778 50.6877777778, 18.4947222222 50.7152777778, 18.7383333333 50.8944444444, 18.855 50.9452777778, 19.1269444444 51.0727777778, 19.7516666667 51.35, 20.1369444444 51.4675, 20.2297222222 51.4958333333, 20.2666666667 51.7511111111, 20.2758333333 51.8091666667, 20.3202777778 52.1066666667, 20.0536111111 52.2841666667, 19.8091666667 52.4519444444, 19.7941666667 52.4622222222, 19.7666666667 52.4647222222, 19.7288888889 52.4688888889, 19.1583333333 52.5333333333, 18.1730555556 52.6516666667))"
